source_ip,destination_ip,source_port,destination_port,protocol,packet_count,byte_count,duration,packets_per_second,bytes_per_second,average_packet_size,unique_destination_ips,unique_destination_ports,tcp_syn_count,tcp_rst_count
10.21.149.251,10.21.149.160,55442.0,53.0,UDP,1,70,0.001,1000.0,70000.0,70.0,1,1,0,0
10.21.149.251,10.21.149.160,60633.0,53.0,UDP,1,76,0.001,1000.0,76000.0,76.0,1,1,0,0
10.21.149.251,10.21.149.160,64411.0,53.0,UDP,1,76,0.001,1000.0,76000.0,76.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,60022.0,UDP,1,246,0.001,1000.0,246000.0,246.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,49911.0,UDP,1,275,0.001,1000.0,275000.0,275.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,55442.0,UDP,1,332,0.001,1000.0,332000.0,332.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,61601.0,UDP,1,249,0.001,1000.0,249000.0,249.0,1,1,0,0
10.21.149.251,23.193.56.66,60261.0,443.0,TCP,19,13679,0.3982839584350586,47.70465793966444,34344.84294508789,719.9473684210526,1,1,1,0
10.21.149.251,49.44.183.155,56193.0,443.0,TCP,9,2306,0.2548501491546631,35.31487044387835,9048.454582620385,256.22222222222223,1,1,1,0
10.21.149.251,49.44.183.155,54993.0,443.0,TCP,8,2348,0.2439281940460205,32.79653683038659,9625.783559718466,293.5,1,1,1,0
10.21.149.251,10.21.149.160,59267.0,53.0,UDP,1,72,0.001,1000.0,72000.0,72.0,1,1,0,0
10.21.149.251,10.21.149.160,55221.0,53.0,UDP,1,72,0.001,1000.0,72000.0,72.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,55221.0,UDP,1,263,0.001,1000.0,263000.0,263.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,60633.0,UDP,1,185,0.001,1000.0,185000.0,185.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,64411.0,UDP,1,174,0.001,1000.0,174000.0,174.0,1,1,0,0
10.21.149.251,49.44.136.113,64925.0,443.0,UDP,78,16429,1.3799011707305908,56.52578724801196,11905.925111507544,210.62820512820514,1,1,0,0
10.21.149.251,150.171.28.10,65072.0,443.0,TCP,9,3028,0.28780627250671387,31.271034927809122,10520.965973489558,336.44444444444446,1,1,1,0
10.21.149.251,150.171.28.10,54724.0,443.0,TCP,9,2836,0.26239538192749023,34.299384135072316,10808.117045229455,315.1111111111111,1,1,1,0
10.21.149.160,10.21.149.251,53.0,59267.0,UDP,1,254,0.001,1000.0,254000.0,254.0,1,1,0,0
49.44.183.155,10.21.149.251,443.0,54993.0,TCP,11,7642,0.1962432861328125,56.0528730269808,38941.45960656248,694.7272727272727,1,1,1,0
23.193.56.66,10.21.149.251,443.0,60261.0,TCP,27,18289,0.34972405433654785,77.20372580954141,52295.516345581585,677.3703703703703,1,1,1,0
49.44.183.155,10.21.149.251,443.0,56193.0,TCP,11,7658,0.20614242553710938,53.36116508447603,37149.072928810674,696.1818181818181,1,1,1,0
10.21.149.251,20.190.145.142,54725.0,443.0,TCP,15,8754,0.734248161315918,20.42906035081795,11922.399620737355,583.6,1,1,1,0
10.21.149.251,204.79.197.203,55428.0,443.0,TCP,34,27189,1.1678874492645264,29.112394367634824,23280.496778283035,799.6764705882352,1,1,1,0
49.44.136.113,10.21.149.251,443.0,64925.0,UDP,71,76008,1.3040292263031006,54.44663245875533,58287.037182043314,1070.5352112676057,1,1,0,0
49.44.136.113,10.21.149.251,,,OTHER,76,91097,1.294950008392334,58.68952431171699,70347.88942400634,1198.6447368421052,1,0,0,0
10.21.149.251,20.184.175.16,58569.0,443.0,TCP,7,2790,0.9610991477966309,7.2833276525609865,2902.926307235022,398.57142857142856,1,1,1,1
150.171.28.10,10.21.149.251,443.0,54724.0,TCP,14,9530,0.25612759590148926,54.660256153673586,37208.01722460781,680.7142857142857,1,1,1,2
150.171.28.10,10.21.149.251,443.0,65072.0,TCP,15,9584,0.2749640941619873,54.55257729455823,34855.46005273641,638.9333333333333,1,1,1,1
204.79.197.203,10.21.149.251,443.0,55428.0,TCP,44,18524,1.0454628467559814,42.08662233816322,17718.468004366714,421.0,1,1,1,0
20.184.175.16,10.21.149.251,443.0,55207.0,TCP,33,11084,1.345811367034912,24.52052405583816,8235.92389802758,335.8787878787879,1,1,1,0
20.190.145.142,10.21.149.251,443.0,54725.0,TCP,26,24867,0.615715503692627,42.227294658117835,40387.159087054475,956.4230769230769,1,1,1,0
10.21.149.251,20.184.175.16,54196.0,443.0,TCP,7,2726,0.9353013038635254,7.484219225488651,2914.5688012402948,389.42857142857144,1,1,1,1
10.21.149.251,10.21.149.160,55409.0,53.0,UDP,1,70,0.001,1000.0,70000.0,70.0,1,1,0,0
10.21.149.251,20.184.175.16,52836.0,443.0,TCP,9,2908,1.0310742855072021,8.728760019044364,2820.359348375668,323.1111111111111,1,1,1,0
10.21.149.251,150.171.28.10,63888.0,443.0,TCP,19,7345,0.5098884105682373,37.26305522187834,14405.112663405072,386.57894736842104,1,1,1,0
10.21.149.160,10.21.149.251,53.0,55409.0,UDP,1,173,0.001,1000.0,173000.0,173.0,1,1,0,0
150.171.28.10,10.21.149.251,443.0,63888.0,TCP,23,12265,0.38811659812927246,59.260542091887665,31601.328206826183,533.2608695652174,1,1,1,0
20.184.175.16,10.21.149.251,443.0,58569.0,TCP,11,9212,0.8429930210113525,13.04874385176181,10927.729851129981,837.4545454545455,1,1,1,0
10.21.149.251,10.21.149.160,63860.0,53.0,UDP,1,71,0.001,1000.0,71000.0,71.0,1,1,0,0
10.21.149.251,10.21.149.160,63242.0,53.0,UDP,1,71,0.001,1000.0,71000.0,71.0,1,1,0,0
20.184.175.16,10.21.149.251,443.0,54196.0,TCP,13,9808,0.7992100715637207,16.2660612804396,12272.117618350123,754.4615384615385,1,1,1,0
10.21.149.160,10.21.149.251,53.0,63860.0,UDP,1,251,0.001,1000.0,251000.0,251.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,63242.0,UDP,1,334,0.001,1000.0,334000.0,334.0,1,1,0,0
10.21.149.251,49.44.131.195,60153.0,443.0,UDP,96,20334,0.943939208984375,101.70146455012771,21541.641460023926,211.8125,1,1,0,0
20.184.175.16,10.21.149.251,443.0,52836.0,TCP,11,9700,0.7552275657653809,14.565146319642233,12843.810845502698,881.8181818181819,1,1,1,0
49.44.131.195,10.21.149.251,443.0,60153.0,UDP,92,111564,0.8660788536071777,106.22589342393516,128815.06058639023,1212.6521739130435,1,1,0,0
